decile,gross_fwd_pnl_per_vega,net_fwd_pnl_per_vega,gross_t_stat,mean_names,dates,signal
1,1.4300639475294123,-20.493721703593163,4.352523456482329,47.67295226870949,1697,iv_zscore
2,2.1069427630437354,-18.166626235052306,6.222535679164228,48.22569239835003,1697,iv_zscore
3,2.1784627737271265,-17.613695490703655,6.696759116185436,48.075427224513845,1697,iv_zscore
4,2.172605306930955,-17.73508181667654,6.714225895240664,48.20742486741308,1697,iv_zscore
5,2.1699283647509633,-17.513171495300163,6.650434428492986,48.265173836181496,1697,iv_zscore
6,2.329602574410637,-17.80392146025255,7.246842512049409,48.00471420153212,1697,iv_zscore
7,2.4674616835725294,-17.83122456319279,7.839062189746731,48.08603417796111,1697,iv_zscore
8,2.5422476950853965,-18.231907819708777,8.08412257537677,48.19681791396582,1697,iv_zscore
9,2.509245698795468,-19.330271249993075,7.894675315523713,48.104301708898056,1697,iv_zscore
10,1.7898213818261162,-25.677228554098008,5.176882458236009,48.58161461402475,1697,iv_zscore
