signal,year,mvo_factor_neutral,quantile,mvo
vrp,2018,113379.3022890036,148940.33672462034,145406.36568206007
vrp,2019,271623.9419982151,90743.75426291038,286193.152984419
vrp,2020,896557.8079446076,719004.1608632498,928552.9723271237
vrp,2021,496511.8837264195,198413.8395707021,650634.8400735571
vrp,2022,122079.14140559678,18653.729434549226,109707.09971512451
vrp,2023,127437.11321860642,54670.77986486317,99129.11360022658
vrp,2024,185814.4610950127,-73792.48601153273,170934.9088677592
vrp,2025,27150.42590707362,37538.227797861364,43299.082923845825
vrp_raw,2018,317567.2923042656,63815.45376647233,493308.15678519534
vrp_raw,2019,33733.75822088292,-4674.962994059827,44454.98086056233
vrp_raw,2020,818172.9209763011,842517.0310896378,846815.7531831173
vrp_raw,2021,444529.72622540855,216494.3623035118,537403.6009082973
vrp_raw,2022,196614.02778148933,-24430.037091916587,188586.25086534288
vrp_raw,2023,-253760.0884115079,-99919.84050209718,-286557.98315291374
vrp_raw,2024,342150.19628039404,28645.85268722027,358405.5376177731
vrp_raw,2025,103921.39721471182,115219.69518520332,135520.44335046812
