signal,book,costs,positions,gross_vega,total_pnl,sharpe,annual_pnl_per_gross_vega,max_drawdown,annual_turnover,total_cost,market_loading,market_t,intercept_t
vrp_raw,quantile,gross,96.1248574686431,19516.65451080961,1137667.554443972,0.8789315916398492,8.37492545383034,-263992.6491236937,61.945652980883814,0.0,0.1032886315596224,8.516873870821438,2.1658880795527695
vrp_raw,quantile,net,96.1248574686431,19516.65451080961,-45069143.60490927,-6.433488791305352,-331.775936199188,-45035753.61587078,61.945652980883814,46206811.15935324,-0.2785204916361669,-4.112541241783061,-17.088672641370685
vrp_raw,mvo,gross,488.23489167616873,19474.949051374955,2317936.7404178428,0.9894611628541674,17.100003562972294,-408306.34505359293,40.02699491341426,0.0,0.06277442944782799,2.7790038340206116,2.670159513131483
vrp_raw,mvo,net,488.23489167616873,19474.949051374955,-44884529.29596782,-5.659040493575913,-331.12448562553374,-44841003.84159319,40.02699491341426,47202466.03638566,-0.4175831546138316,-5.436516969525846,-14.970774536171916
vrp_raw,mvo_factor_neutral,gross,488.23489167616873,19499.03235024411,2002929.2305919454,0.9350169684811535,14.757863754835778,-398460.2848451582,39.79141626835987,0.0,0.06296736742748518,3.027585743425838,2.5109516475639455
vrp_raw,mvo_factor_neutral,net,488.23489167616873,19499.03235024411,-44827000.17992378,-5.765281683065033,-330.2916304226083,-44789889.73582981,39.79141626835987,46829929.410515726,-0.42135424305986113,-5.602790162922639,-15.251459220290883
vrp,quantile,gross,92.34150513112886,19460.49196505855,1194172.3425072234,0.8584867244928218,8.816255040780808,-261160.51767030556,64.60975452848643,0.0,-0.0006952916195819434,-0.05050114118507786,2.1298181104910583
vrp,quantile,net,92.34150513112886,19460.49196505855,-45022236.19743096,-6.418256816352109,-332.3871293061904,-44983667.62641101,64.60975452848643,46216408.53993818,-0.27144685635655746,-3.9812379981049255,-16.975549391107553
vrp,mvo,gross,472.3945267958951,19523.562460666933,2433857.5361741157,1.1062808301017923,17.910472331577918,-244759.3919098077,38.60474638682643,0.0,-0.02196108475192019,-1.0242441838814333,2.8814406905041263
vrp,mvo,net,472.3945267958951,19523.562460666933,-48088793.97406742,-5.647126222129392,-353.8797982750415,-48019725.26385072,38.60474638682643,50522651.51024154,-0.353376326846973,-4.258670245460069,-14.844494562013782
vrp,mvo_factor_neutral,gross,472.3945267958951,19525.510891889593,2240554.0775845353,1.0749288033554993,16.486329518752946,-230145.01856328396,38.447630610203305,0.0,-0.013735355199941122,-0.674432891941776,2.8001691327657774
vrp,mvo_factor_neutral,net,472.3945267958951,19525.510891889593,-47915000.26137808,-5.695806167916278,-352.56568502547475,-47851814.436695285,38.447630610203305,50155554.338962615,-0.3354534664180346,-4.092024431158502,-14.964520942554456
